Title,Year,Genres,Language,Director,Score,soup
The Twilight Saga: New Moon,2009,Adventure Fantasy Drama Romance,English,Chris Weitz,5.9,moon vampire werewolf supernaturalcreature basedonyoungadultnovel adventurefantasydramaromance chrisweitz kristenstewart robertpattinson taylorlautner billyburke
Robinson Crusoe,1997,Action Adventure Drama,English,Rod Hardy,5.9,indigenous island shipwreck friendship loneliness survival cannibal desertedisland robinsoncrusoe actionadventuredrama rodhardy piercebrosnan jamesfrain pollywalker ianhart
This Is Your Death,2017,Drama,English,Giancarlo Esposito,5.9,suicide siblingrelationship nurse television jobinterview janitor tvhost network drama giancarloesposito joshduhamel famkejanssen giancarloesposito sarahwaynecallies
Bounty Killer,2013,Action Science Fiction,English,Henry Saine,5.9,post-apocalypticfuture dystopia actionsciencefiction henrysaine matthewmarsden kristannaloken christianpitre barakhardley
Psycho IV: The Beginning,1990,Horror Mystery Thriller TV Movie,English,Mick Garris,5.9,motel psychopath murder flashback serialkiller crossdressing voyeurism radiodj horrormysterythrillertvmovie mickgarris anthonyperkins henrythomas oliviahussey cchpounder
Suicide Squad,2016,Action Adventure Crime Fantasy Science Fiction,English,David Ayer,5.9,dccomics antihero secretmission villain superhero supervillain dcextendeduniverse actionadventurecrimefantasysciencefiction davidayer willsmith margotrobbie joelkinnaman violadavis
The Laws of Thermodynamics,2018,Romance Comedy,Spanish,Mateo Gil,5.9,physicist fallinginlove model science romancecomedy mateogil vitosanz bertavázquez chinodarín vickyluengo
The Thief Lord,2006,Adventure Science Fiction,English,Richard Claus,5.9,venice italy detective secret island childrengang privatedetective adventuresciencefiction richardclaus aarontaylorjohnson jasperharris rolloweeks aliceconnor
Chi-Raq,2015,Drama Crime Comedy,English,Spike Lee,5.9,chicago usa dramacrimecomedy spikelee nickcannon teyonahparris wesleysnipes angelabassett
Lissi and the Wild Emperor,2007,Animation Comedy,German,Michael Herbig,5.9,monster emperor yeti animationcomedy michaelherbig michaelherbig christiantramitz waldemarkobus rickkavanian
Christmas Cupid,2010,TV Movie Fantasy Comedy Romance Family,English,Gil Junger,5.9,christmas tvmoviefantasycomedyromancefamily giljunger chadmichaelmurray ashleybenson christinamilian ryansypek
Show Dogs,2018,Adventure Crime Family Comedy,English,Raja Gosnell,5.9,undercover policedog dogshow adventurecrimefamilycomedy rajagosnell willarnett ludacris natashalyonne jordinsparks
Milk Money,1994,Comedy Romance,English,Richard Benjamin,5.9,prostitute treehouse red-lightdistrict youngpeople stripper makeamatch mobboss fathersonrelationship comedyromance richardbenjamin melaniegriffith edharris michaelpatrickcarter malcolmmcdowell
Beowulf & Grendel,2005,Action Adventure Drama Fantasy,English,Sturla Gunnarsson,5.9,hero mythology nordicmythology mythicalcreature viking weapon swordsman mythologicalbeast norsemythology swordandsorcery 6thcentury actionadventuredramafantasy sturlagunnarsson gerardbutler spencerwilding stellanskarsgård ingvareggertsigurðsson
Afternoon Delight,2013,Comedy Drama,English,Jill Soloway,5.9,womandirector comedydrama jillsoloway kathrynhahn junotemple joshradnor janelynch
Big Driver,2014,Crime Mystery Thriller,English,Mikael Salomon,5.9,television revenge mysterywriter crimemysterythriller mikaelsalomon mariabello joanjett anndowd olympiadukakis
All Nighter,2017,Comedy,English,Gavin Wiesen,5.9,workaholic ex-boyfriend banjo father-in-law daughter party search hollywood comedy gavinwiesen j.k.simmons analeightipton emilehirsch metagolding
Snow White: A Tale of Terror,1997,Fantasy Horror,English,Michael Cohn,5.9,jealousy toxication castle fairytale stepmother apple middleages nobility fantasyhorror michaelcohn sigourneyweaver samneill monicakeena gilbellows
The Man Who Cried,2000,Drama Music Romance War,English,Sally Potter,5.9,dancing france usa england gypsy russia jew/jewish singer unitedkingdom womandirector dramamusicromancewar sallypotter christinaricci johnnydepp cateblanchett johnturturro
Samson,2018,Action Drama Adventure,English,Bruce MacDonald,5.9,jew/jewish bible god samson strength actiondramaadventure brucemacdonald jacksonrathbone billyzane taylorjames caitlinleahy
Bring It On: Worldwide #Cheersmack,2017,Comedy Romance,English,Robert Adetuyi,5.9,cheerleader comedyromance robertadetuyi vivicaa.fox cristineprosperi jordanrodrigues sophievavasseur
A Turtles Tale 2: Sammys Escape from Paradise,2012,Adventure Animation,English,Ben Stassen,5.89,escape anthropomorphism underwater seacreature adventureanimation benstassen kaitlynmaher carterhastings alanshearman kharypayton
Futureworld,1976,Action Adventure Science Fiction Thriller,English,Richard T. Heffron,5.89,clone journalist android killerrobot robotasmenace reporter doppelgänger worlddomination actionadventuresciencefictionthriller richardt.heffron peterfonda blythedanner arthurhill yulbrynner
Pawn Shop Chronicles,2013,Action Comedy,English,Wayne Kramer,5.89,"elvispresley anthology pawnshop aftercreditsstinger duringcreditsstinger actioncomedy waynekramer brendanfraser elijahwood ""vincentdonofrio"" pelljames"
Excess Baggage,1997,Action Comedy Romance,English,Marco Brambilla,5.89,trunk attemptedkidnapping actioncomedyromance marcobrambilla aliciasilverstone beniciodeltoro christopherwalken jackthompson
L: Change the World,2008,Fantasy Action Thriller Science Fiction Mystery,Japanese,Hideo Nakata,5.89,sequel fantasyactionthrillersciencefictionmystery hideonakata kenichimatsuyama narushifukuda mayukofukuda shingotsurumi
Joshua,2007,Drama Thriller Horror,English,George Ratliff,5.89,siblingrelationship childabuse baby nanny mother-in-law bible intellectuallygifted malice sleeplesness psychologicalhorror dramathrillerhorror georgeratliff samrockwell verafarmiga jacobkogan celiaweston
The Clearing,2004,Drama Mystery Thriller,English,Pieter Jan Brugge,5.89,detective husbandwiferelationship ransom hostage fbi kidnapping cabin forest employee marriage psychopath basedonatruestory love pursuit missingperson maritalproblem ransomnote negotiation dramamysterythriller pieterjanbrugge robertredford helenmirren willemdafoe alessandronivola
Down and Out in Beverly Hills,1986,Comedy,English,Paul Mazursky,5.89,homelessperson swimmingpool remake dysfunctionalfamily wealth losangeles california dog family extramaritalaffair beverlyhills hobo comedy paulmazursky nicknolte bettemidler richarddreyfuss elizabethpeña
Swing Vote,2008,Drama Comedy,English,Joshua Michael Stern,5.89,u.s.president presidentialelection foxnews dramacomedy joshuamichaelstern kevincostner madelinecarroll paulapatton kelseygrammer
Sleepaway Camp II: Unhappy Campers,1988,Horror Comedy,English,Michael A. Simpson,5.89,summercamp slasher horrorcomedy michaela.simpson pamelaspringsteen renéeestevez tonyhiggins valeriehartman
Iris,2016,Thriller,French,Jalil Lespert,5.89,"basedonnovelorbook newlove ""loveofoneslife"" retiree aging ""alzheimersdisease"" pflegen love author short-termmemory photographicmemory dramaromance richardeyre judidench jimbroadbent katewinslet hughbonneville"
Anacleto: Agente secreto,2015,Action Comedy,Spanish,Javier Ruiz Caldera,5.89,parentchildrelationship secretagent basedoncomic parody actioncomedy javierruizcaldera imanolarias quimgutiérrez bertoromero alexandrajiménez
Winning London,2001,Comedy Family,English,Craig Shapiro,5.89,london england competition travel teenager twins comedyfamily craigshapiro marykateolsen ashleyolsen brandontyler jessespencer
Stars 80,2012,Comedy,French,Thomas Langmann,5.89,Not Available comedy thomaslangmann richardanconina patricktimsit brunolochet lio
Jackass Presents: Bad Grandpa 5,2014,Comedy,English,Jeff Tremaine,5.89,mtv jackass comedy jefftremaine johnnyknoxville spikejonze jacksonnicoll catherinekeener
Killshot,2008,Crime Drama Thriller,English,John Madden,5.89,hitman thriller criminal crimedramathriller johnmadden mickeyrourke dianelane thomasjane rosariodawson
Buzz Lightyear of Star Command: The Adventure Begins,2000,Animation Family Comedy Science Fiction Adventure,English,Tad Stones,5.89,toy buzz lightyear بظ يطير animationfamilycomedysciencefictionadventure tadstones timallen nicolesullivan stephenfurst larrymiller
The Comics 2,1991,Comedy,Italian,Neri Parenti,5.89,Not Available comedy neriparenti paolovillaggio renatopozzetto romanopuppo robertodellacasa
Falcon Rising,2014,Adventure Action,English,Ernie Barbarash,5.89,yakuza marine fighting adventureaction erniebarbarash michaeljaiwhite nealmcdonough lateefcrowder lailaali
I Am Michael,2015,Drama,English,Justin Kelly,5.89,homophobia minister biography church preacher drama justinkelly jamesfranco zacharyquinto emmaroberts darylhannah
The Student,1988,Romance,French,Claude Pinoteau,5.89,Not Available drama kirillserebrennikov viktoriyaisakova petrskvortsov yuliyaaug aleksandrarevenko
Baskin,2015,Fantasy Horror Science Fiction,Turkish,Can Evrenol,5.89,frog cop remake madness fantasyhorrorsciencefiction canevrenol muharrembayrak mehmetcerrahoglu mehmetfaithdokgoz gorkemkasal
April Fools Day,1986,Horror Mystery,English,Fred Walton,5.89,"island party murder teenmovie slasher ""aprilfoolsday"" holidayhorror canuxploitation eliminationderby collegefriends horrormystery fredwalton deborahforeman thomasf.wilson lloydberry tomheaton"
Hardware,1990,Horror Science Fiction Thriller,English,Richard Stanley,5.89,discjockey cyborg killerrobot artist nuclearradiation post-apocalypticfuture dystopia sculpture basedoncomic murder robotasmenace independentfilm blood cyberpunk violence desert surveillance apartment cultfilm securitysystem voyeur drought pollutedair populationcontrol homesecurity junkart syntheticdrug computertechnology overpopulatedworld scavengers industrialpollution horrorsciencefictionthriller richardstanley dylanmcdermott staceytravis johnlynch williamhootkins
Shopgirl,2005,Comedy Drama Romance,English,Anand Tucker,5.89,salesclerk comedydramaromance anandtucker stevemartin clairedanes jasonschwartzman bridgettewilson
Remember Me,2003,Drama Comedy Romance,Italian,Gabriele Muccino,5.89,newyorkcity parentchildrelationship grieving youngadult collegestudent 21stcentury dramaromance allencoulter robertpattinson emiliederavin piercebrosnan lenaolin
Rookie of the Year,1993,Comedy Family,English,Daniel Stern,5.88,baseball sports comedyfamily danielstern thomasiannicholas colombejacobsenderstine garybusey alberthall
Ninja,2009,Action Crime Drama Thriller,English,Isaac Florentine,5.88,martialarts ninja gaijin kunoichi actioncrimedramathriller isaacflorentine scottadkins toddjensen tsuyoshiihara mikahijii
Mary Reilly,1996,Drama Horror Thriller,English,Stephen Frears,5.88,servant monster laboratory jekyllandhyde housemaid 19thcentury dramahorrorthriller stephenfrears juliaroberts johnmalkovich georgecole michaelgambon
The Deep Blue Sea,2011,Drama Romance,English,Terence Davies,5.88,london england judge infidelity self-destruction pilot wife love flashback basedonplayormusical loveaffair postworldwarii 1950s dramaromance terencedavies rachelweisz tomhiddleston simonrussellbeale harryhaddenpaton
Term Life,2016,Thriller Crime,English,Peter Billingsley,5.88,Not Available thrillercrime peterbillingsley vincevaughn haileesteinfeld billpaxton jonathanbanks
Sweet Virginia,2017,Drama Thriller,English,Jamie M. Dagg,5.88,adultery robbery bar motel murder violence death hiredkiller neo-noir rodeoperformer dramathriller jamiem.dagg jonbernthal christopherabbott imogenpoots rosemariedewitt
Rabbit Without Ears 2,2009,Comedy Romance,German,Til Schweiger,5.88,Not Available comedyromance tilschweiger tilschweiger noratschirner matthiasschweighöfer thomaskretschmann
Mes trésors,2017,Comedy,French,Pascal Bourdiaux,5.88,Not Available comedy pascalbourdiaux jeanreno reemkherici camillechamoux pascaldemolon
Flying Home,2014,Romance,English,Dominique Deruddere,5.88,grandfather betrayal pigeon romance dominiquederuddere jamiedornan charlottedebruyne jandecleir alisuliman
The Truth About Cats & Dogs,1996,Comedy Romance,English,Michael Lehmann,5.88,veterinarian radiopresenter falseidentity decoy beguilement blinddate love art dog comedyromance michaellehmann umathurman janeanegarofalo benchaplin jamiefoxx
A Chinese in a Coma,2000,Comedy,Italian,Carlo Verdone,5.88,Not Available comedy carloverdone carloverdone beppefiorello maritnissen annasafroncik
Khumba,2013,Animation Adventure Family,English,Anthony Silverston,5.88,africa self-discovery zebra wildanimal anthropomorphism animal 3d khumba animationadventurefamily anthonysilverston jaket.austin liamneeson stevebuscemi annasophiarobb
Orbiter 9,2017,Drama Science Fiction Romance,Spanish,Hatem Khraiche,5.88,thriller dramasciencefictionromance hatemkhraiche claralago belénrueda álexgonzález andrésparra
Lets Go to Prison,2006,Comedy Crime,English,Bob Odenkirk,5.88,lossoflovedone condom vulgar paroleboard alcoholabuse comedycrime bobodenkirk daxshepard willarnett chimcbride davidkoechner
360,2011,Drama Romance,English,Fernando Meirelles,5.88,cheatingwife dramaromance fernandomeirelles rachelweisz judelaw benfoster anthonyhopkins
Beyond a Reasonable Doubt,2009,Crime Drama Thriller,English,Peter Hyams,5.88,reporter criminal crimedramathriller peterhyams michaeldouglas jessemetcalfe ambertamblyn joeldavidmoore
The Funhouse,1981,Horror,English,Tobe Hooper,5.88,mask carnival maskedkiller slasher violence funhouse deformedface horror tobehooper elizabethberridge shawncarson jeanneaustin jackmcdermott
Every Secret Thing,2014,Thriller Drama Crime Mystery,English,Amy Berg,5.88,basedonnovelorbook kidnapping baltimore missingchild baltimoremaryland childmurder womandirector thrillerdramacrimemystery amyberg dianelane elizabethbanks dakotafanning daniellemacdonald
Wolves,2014,Horror Action,English,David Hayter,5.88,adoption werewolf horroraction davidhayter lucastill jasonmomoa johnpyperferguson stephenmchattie
Triple Dog,2010,Drama Thriller,English,Pascal Franchot ,5.88,sleepover dare dramathriller pascalfranchot scouttaylorcompton brittrobertson alexiafast janelparrish
